,Comparison Matrix (A),,,,, Normalized Matrix ,,,,W,,,,,,,
,,,,,,,,,,,,,,,,,
,,Human/Driver,Road Characteristics,Time of the Day / working hours,,,Human/Driver,Road Characteristics,Time of the Day / working hours,Weights (W),AW,Lamda (?),CI,RI,CR,,
,Human/Driver,1,7,5,,Human/Driver,0.74,0.64,0.79,0.72,2.27,3.14,0.03,0.58,0.06,,
,Road Characteristics, 1/7,1, 1/3,,Road Characteristics,0.11,0.09,0.05,0.08,0.25,3.01,,,,,
,Time of the Day / working hours, 1/5,3,1,,Time of the Day / working hours,0.15,0.27,0.16,0.19,0.59,3.04,,,,,
,Total,1.34,11.00,6.33,,,,,,,?max,3.07,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Age,Driving Experience,Education Level,,,Age,Driving Experience,Education Level,Weights (W),AW,Lamda (?),CI,RI,CR,,
,Age,1,3,8,,Age,0.69,0.71,0.57,0.66,2.03,3.08,0.02,0.58,0.04,,
,Driving Experience, 1/3,1,5,,Driving Experience,0.23,0.24,0.36,0.27,0.83,3.04,,,,,
,Education Level, 1/8, 1/5,1,,Education Level,0.09,0.05,0.07,0.07,0.21,3.01,,,,,
,Total,1.46,4.20,14.00,,,,,,,?max,3.04,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Main Road,Minor Road,Paved Road,Unpaved Road,,,Main Road,Minor Road,Paved Road,Unpaved Road,Weights (W),AW,Lamda (?),CI,RI,CR
,Main Road,1,5, 1/2,3    ,,Main Road,0.28,0.26,0.29,0.27,0.27,1.15,4.20,0.05,0.9,0.051177829
,Minor Road, 1/5,1, 1/9, 1/4,,Minor Road,0.06,0.05,0.06,0.02,0.05,0.20,4.01,,,
,Paved Road,2,9,1,7,,Paved Road,0.57,0.47,0.57,0.62,0.56,2.38,4.26,,,
,Unpaved Road, 1/3,4    , 1/7,1,,Unpaved Road,0.09,0.21,0.08,0.09,0.12,0.48,4.08,,,
,Total,3.53,19.00,1.75,11.25,,,,,,,,?max,4.14,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Morning Shift,Afternoon Shift,Night Shift,,,,,,,,,,,,,
,Morning Shift,1, 1/2, 1/5,,,Morning Shift,Afternoon Shift,Night Shift,Weights (W),AW,Lamda (?),CI,RI,CR,,
,Afternoon Shift,2,1, 1/3,,Morning Shift,0.13,0.11,0.13,0.12,0.37,3.00,0.001848334,0.58,0.003186783,,
,Night Shift,5    ,3,1,,Afternoon Shift,0.25,0.22,0.22,0.23,0.69,3.00,,,,,
,Total,8.00,4.50,1.53,,Night Shift,0.63,0.67,0.65,0.65,1.95,3.01,,,,,
,,,,,,,,,,,?max,3.00,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Weight of Crecteria (Main Factors),,,Sub-Factors,Loacal weights,,Sub-Factors,Global Weights,Overall Rank,,,,,,,,,
Human/Driver,0.72,,Age,0.66,,Age,0.4752,1,,,,,,,,,
Road Characteristics,0.08,,Driving Experience,0.27,,Driving Experience,0.1944,2,,,,,,,,,
Time of the Day / working hours,0.19,,Education Level,0.07,,Education Level,0.0504,4,,,,,,,,,
,,,Main Road,0.27,,Main Road,0.0216,8,,,,,,,,,
,,,Minor Road,0.05,,Minor Road,0.004,10,,,,,,,,,
,,,Paved Road,0.56,,Paved Road,0.0448,5,,,,,,,,,
,,,Unpaved Road,0.12,,Unpaved Road,0.0096,9,,,,,,,,,
,,,Morning Shift,0.12,,Morning Shift,0.0228,7,,,,,,,,,
,,,Afternoon Shift,0.23,,Afternoon Shift,0.0437,6,,,,,,,,,
,,,Night Shift,0.65,,Night Shift,0.1235,3,,,,,,,,,
